location,total_cases,total_deaths,death_rate_percent
France,38997490.0,167985.0,167.59
United Kingdom,24779150.0,230383.0,22.93
Yemen,11945.0,2159.0,19.61
Mexico,7692397.0,334699.0,17.17
Belgium,4817196.0,34339.0,16.04
Italy,26168412.0,192013.0,14.5
Peru,4520727.0,221704.0,14.29
Sweden,2718433.0,24902.0,13.86
Netherlands,8618815.0,22986.0,13.27
Spain,13980340.0,121852.0,11.9
